  , a , b , c , d , e , f , g , h , i , j , k , l , m , n , o , p , q , r , s , t , u , v , w , x , y , z , ñ
a , 0 , 49 , 19 , 52 , 3 , 0 , 8 , 2 , 8 , 5 , 0 , 61 , 24 , 88 , 0 , 11 , 6 , 92 , 61 , 9 , 2 , 4 , 0 , 0 , 6 , 4 , 6
b , 36 , 0 , 0 , 0 , 7 , 0 , 0 , 0 , 18 , 0 , 0 , 7 , 0 , 0 , 3 , 0 , 0 , 29 , 2 , 1 , 6 , 0 , 0 , 0 , 0 , 0 , 0
c , 46 , 0 , 1 , 0 , 27 , 0 , 0 , 18 , 47 , 0 , 0 , 5 , 0 , 0 , 42 , 0 , 0 , 8 , 0 , 3 , 19 , 0 , 0 , 0 , 0 , 0 , 0
d , 47 , 0 , 0 , 0 , 57 , 0 , 0 , 0 , 45 , 0 , 0 , 0 , 2 , 0 , 65 , 0 , 0 , 10 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0
e , 14 , 5 , 27 , 30 , 0 , 3 , 23 , 0 , 4 , 11 , 0 , 28 , 20 , 118 , 5 , 4 , 2 , 101 , 96 , 4 , 1 , 11 , 0 , 7 , 0 , 6 , 4
f , 6 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 10 , 0 , 0 , 3 , 0 , 0 , 3 , 0 , 0 , 2 , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 0
g , 12 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 5 , 0 , 0 , 1 , 0 , 2 , 14 , 0 , 0 , 18 , 0 , 0 , 20 , 0 , 0 , 0 , 0 , 0 , 0
h , 26 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 16 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0
i , 73 , 8 , 29 , 23 , 53 , 5 , 9 , 0 , 0 , 2 , 0 , 19 , 10 , 35 , 40 , 0 , 1 , 32 , 20 , 19 , 3 , 5 , 0 , 0 , 0 , 5 , 1
j , 12 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0
k , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
l , 43 , 1 , 1 , 3 , 33 , 0 , 3 , 0 , 25 , 0 , 0 , 36 , 2 , 0 , 29 , 1 , 0 , 0 , 1 , 9 , 8 , 5 , 0 , 0 , 0 , 2 , 0
m , 42 , 11 , 0 , 0 , 27 , 0 , 0 , 0 , 22 , 0 , 0 , 0 , 0 , 1 , 21 , 10 , 0 , 0 , 0 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 0
n , 28 , 0 , 20 , 55 , 11 , 3 , 8 , 0 , 17 , 0 , 0 , 0 , 2 , 0 , 28 , 0 , 1 , 2 , 13 , 73 , 9 , 2 , 0 , 0 , 0 , 2 , 0
o , 0 , 13 , 14 , 13 , 0 , 5 , 1 , 0 , 3 , 2 , 0 , 10 , 13 , 57 , 0 , 6 , 1 , 37 , 62 , 7 , 0 , 4 , 0 , 0 , 4 , 6 , 0
p , 34 , 0 , 0 , 0 , 36 , 0 , 0 , 0 , 14 , 0 , 0 , 3 , 0 , 0 , 19 , 0 , 0 , 26 , 0 , 0 , 13 , 0 , 0 , 0 , 0 , 0 , 0
q , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 23 , 0 , 0 , 0 , 0 , 0 , 0
r , 79 , 0 , 6 , 7 , 110 , 0 , 5 , 0 , 56 , 0 , 0 , 4 , 14 , 3 , 51 , 1 , 1 , 13 , 5 , 15 , 8 , 7 , 0 , 0 , 0 , 2 , 0
s , 39 , 0 , 7 , 1 , 45 , 2 , 2 , 0 , 24 , 0 , 0 , 0 , 2 , 0 , 18 , 11 , 1 , 0 , 0 , 50 , 9 , 0 , 0 , 0 , 0 , 0 , 0
t , 58 , 0 , 0 , 0 , 53 , 0 , 0 , 0 , 29 , 0 , 0 , 0 , 0 , 0 , 49 , 0 , 0 , 44 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0 , 0
u , 6 , 6 , 6 , 11 , 42 , 0 , 2 , 0 , 21 , 3 , 0 , 7 , 4 , 26 , 0 , 4 , 0 , 11 , 7 , 1 , 0 , 3 , 0 , 1 , 6 , 4 , 0
v , 20 , 0 , 0 , 0 , 23 , 0 , 0 , 0 , 27 , 0 , 0 , 0 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
w , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
x , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0
y , 6 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
z , 17 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
ñ , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
